anomaly_id,dataset,expected_issue_type,row_index,column_name,original_value,corrupted_value,repairable,source_row_id,duplicate_group,consistency_rule_name,created_by_seed,notes
user_device_logs-0001,user_device_logs,missing_values,985,device_type,laptop,,True,log-0000985,,,20260715,Cell was replaced with a missing value.
user_device_logs-0002,user_device_logs,missing_values,1917,os,iOS,,True,log-0001917,,,20260715,Cell was replaced with a missing value.
user_device_logs-0003,user_device_logs,missing_values,585,session_duration,387,,True,log-0000585,,,20260715,Cell was replaced with a missing value.
user_device_logs-0004,user_device_logs,missing_values,4920,os,iOS,,True,log-0004920,,,20260715,Cell was replaced with a missing value.
user_device_logs-0005,user_device_logs,missing_values,1663,app_version,2.4.1,,True,log-0001663,,,20260715,Cell was replaced with a missing value.
user_device_logs-0006,user_device_logs,missing_values,1503,session_duration,727,,True,log-0001503,,,20260715,Cell was replaced with a missing value.
user_device_logs-0007,user_device_logs,missing_values,1781,session_duration,604,,True,log-0001781,,,20260715,Cell was replaced with a missing value.
user_device_logs-0008,user_device_logs,missing_values,2785,device_type,laptop,,True,log-0002785,,,20260715,Cell was replaced with a missing value.
user_device_logs-0009,user_device_logs,missing_values,1976,os,iOS,,True,log-0001976,,,20260715,Cell was replaced with a missing value.
user_device_logs-0010,user_device_logs,missing_values,3751,device_type,tablet,,True,log-0003751,,,20260715,Cell was replaced with a missing value.
user_device_logs-0011,user_device_logs,missing_values,286,app_version,2.5.0,,True,log-0000286,,,20260715,Cell was replaced with a missing value.
user_device_logs-0012,user_device_logs,missing_values,1086,session_duration,906,,True,log-0001086,,,20260715,Cell was replaced with a missing value.
user_device_logs-0013,user_device_logs,missing_values,2634,device_type,desktop,,True,log-0002634,,,20260715,Cell was replaced with a missing value.
user_device_logs-0014,user_device_logs,missing_values,4288,session_duration,542,,True,log-0004288,,,20260715,Cell was replaced with a missing value.
user_device_logs-0015,user_device_logs,missing_values,1200,os,iOS,,True,log-0001200,,,20260715,Cell was replaced with a missing value.
user_device_logs-0016,user_device_logs,missing_values,1698,app_version,2.5.0,,True,log-0001698,,,20260715,Cell was replaced with a missing value.
user_device_logs-0017,user_device_logs,missing_values,4979,app_version,2.4.1,,True,log-0004979,,,20260715,Cell was replaced with a missing value.
user_device_logs-0018,user_device_logs,missing_values,772,os,iOS,,True,log-0000772,,,20260715,Cell was replaced with a missing value.
user_device_logs-0019,user_device_logs,missing_values,2004,app_version,2.4.0,,True,log-0002004,,,20260715,Cell was replaced with a missing value.
user_device_logs-0020,user_device_logs,missing_values,2269,device_type,laptop,,True,log-0002269,,,20260715,Cell was replaced with a missing value.
user_device_logs-0021,user_device_logs,missing_values,3380,app_version,2.4.0,,True,log-0003380,,,20260715,Cell was replaced with a missing value.
user_device_logs-0022,user_device_logs,missing_values,2693,device_type,laptop,,True,log-0002693,,,20260715,Cell was replaced with a missing value.
user_device_logs-0023,user_device_logs,missing_values,3409,app_version,2.5.1,,True,log-0003409,,,20260715,Cell was replaced with a missing value.
user_device_logs-0024,user_device_logs,missing_values,2383,app_version,2.4.1,,True,log-0002383,,,20260715,Cell was replaced with a missing value.
user_device_logs-0025,user_device_logs,missing_values,1758,os,iOS,,True,log-0001758,,,20260715,Cell was replaced with a missing value.
user_device_logs-0026,user_device_logs,missing_values,4381,app_version,2.5.1,,True,log-0004381,,,20260715,Cell was replaced with a missing value.
user_device_logs-0027,user_device_logs,missing_values,440,app_version,2.4.0,,True,log-0000440,,,20260715,Cell was replaced with a missing value.
user_device_logs-0028,user_device_logs,missing_values,1280,session_duration,92,,True,log-0001280,,,20260715,Cell was replaced with a missing value.
user_device_logs-0029,user_device_logs,missing_values,2370,session_duration,98,,True,log-0002370,,,20260715,Cell was replaced with a missing value.
user_device_logs-0030,user_device_logs,missing_values,936,session_duration,756,,True,log-0000936,,,20260715,Cell was replaced with a missing value.
